iter	Passed	Remaining
147	826	4756
148	828	4729
149	830	4703
150	831	4677
151	833	4650
152	835	4624
153	838	4608
154	840	4584
155	842	4559
156	844	4535
157	846	4511
158	848	4487
159	850	4463
160	851	4437
161	854	4421
162	856	4399
163	858	4376
164	860	4354
165	862	4332
166	864	4310
167	866	4288
168	868	4271
169	870	4250
170	872	4231
171	874	4210
172	876	4188
173	877	4167
174	879	4147
175	881	4128
176	884	4110
177	885	4089
178	887	4069
179	888	4049
180	890	4029
181	892	4009
182	893	3990
183	895	3970
184	897	3954
185	899	3937
186	901	3918
187	902	3899
188	904	3881
189	906	3863
190	907	3844
191	909	3826
192	911	3810
193	913	3794
194	915	3777
195	916	3760
196	918	3744
197	920	3727
198	921	3710
199	923	3692
200	924	3676
201	927	3663
202	929	3647
203	930	3631
204	932	3615
205	933	3599
206	935	3583
207	937	3568
208	938	3552
209	940	3539
210	942	3525
211	944	3510
212	946	3496
213	947	3480
214	949	3466
215	950	3451
216	952	3437
217	954	3422
218	956	3411
219	958	3398
220	960	3384
221	961	3370
222	963	3356
223	965	3343
224	966	3329
225	968	3316
226	970	3303
227	972	3291
228	974	3279
229	975	3266
230	977	3253
231	979	3240
232	980	3227
233	982	3216
234	988	3217
235	990	3205
236	992	3195
237	994	3183
238	995	3170
239	997	3158
240	998	3146
241	1001	3136
242	1003	3124
243	1004	3113
244	1006	3101
245	1008	3089
246	1009	3077
247	1011	3066
248	1012	3055
249	1014	3043
250	1016	3034
251	1018	3023
252	1020	3012
253	1021	3001
254	1023	2990
255	1025	2979
256	1027	2969
257	1029	2960
258	1032	2953
259	1034	2945
260	1036	2936
261	1038	2926
262	1040	2916
263	1042	2907
264	1047	2906
265	1050	2898
266	1059	2909
267	1063	2905
268	1066	2897
269	1068	2889
270	1071	2881
271	1073	2874
272	1076	2866
273	1079	2861
274	1082	2853
275	1084	2845
276	1089	2843
277	1093	2839
278	1096	2834
279	1099	2826
280	1102	2820
281	1104	2812
282	1109	2809
283	1111	2802
284	1114	2795
285	1116	2788
286	1119	2782
287	1128	2789
288	1133	2789
289	1136	2782
290	1140	2778
291	1142	2770
292	1145	2763
293	1147	2756
294	1150	2749
295	1152	2741
296	1155	2735
297	1158	2728
298	1160	2720
299	1162	2713
300	1165	2706
301	1167	2698
302	1170	2693
303	1173	2686
304	1176	2679
305	1179	2674
306	1181	2667
307	1186	2665
308	1188	2658
309	1191	2651
310	1193	2644
311	1196	2637
312	1199	2632
313	1201	2625
314	1204	2619
315	1207	2612
316	1209	2606
317	1212	2601
318	1219	2602
319	1221	2596
320	1224	2589
321	1227	2583
322	1230	2579
323	1233	2572
324	1236	2568
325	1238	2561
326	1241	2554
327	1244	2550
328	1248	2546
329	1250	2539
330	1253	2532
331	1255	2525
332	1257	2517
333	1262	2517
334	1264	2510
335	1267	2504
336	1269	2497
337	1271	2489
338	1273	2482
339	1276	2477
340	1278	2471
341	1283	2468
342	1286	2464
343	1292	2464
344	1296	2460
345	1298	2455
346	1301	2448
347	1302	2441
348	1306	2437
349	1310	2433
350	1312	2426
351	1319	2428
352	1322	2424
353	1324	2417
354	1326	2410
355	1330	2406
356	1333	2402
357	1336	2396
358	1339	2391
359	1341	2385
360	1344	2379
361	1347	2374
362	1350	2369
363	1353	2364
364	1360	2367
365	1363	2362
366	1366	2357
367	1369	2352
368	1372	2346
369	1374	2341
370	1377	2336
371	1380	2330
372	1383	2325
373	1386	2319
374	1388	2314
375	1391	2308
376	1393	2303
377	1396	2298
378	1399	2292
379	1401	2287
380	1404	2281
381	1406	2275
382	1410	2272
383	1413	2267
384	1415	2261
385	1419	2257
386	1421	2252
387	1428	2253
388	1430	2247
389	1433	2241
390	1435	2236
391	1441	2235
392	1444	2230
393	1446	2225
394	1449	2220
395	1454	2217
396	1460	2218
397	1465	2216
398	1467	2210
399	1469	2203
400	1471	2197
401	1473	2191
402	1475	2185
403	1477	2179
404	1481	2176
405	1483	2171
406	1486	2165
407	1488	2160
408	1491	2155
409	1494	2150
410	1500	2150
411	1503	2146
412	1506	2141
413	1510	2138
414	1513	2133
415	1515	2128
416	1519	2124
417	1522	2119
418	1534	2127
419	1537	2122
420	1539	2117
421	1543	2114
422	1546	2109
423	1549	2104
424	1551	2099
425	1557	2099
426	1560	2094
427	1563	2089
428	1566	2084
429	1568	2078
430	1570	2073
431	1573	2068
432	1576	2064
433	1579	2059
434	1585	2059
435	1588	2055
436	1591	2050
437	1594	2045
438	1596	2040
439	1601	2038
440	1604	2033
441	1607	2029
442	1609	2023
443	1611	2018
444	1613	2012
445	1617	2008
446	1619	2003
447	1621	1998
448	1623	1992
449	1625	1987
450	1627	1981
451	1630	1977
452	1632	1971
453	1634	1966
454	1636	1960
455	1638	1954
456	1640	1949
457	1642	1943
458	1644	1938
459	1646	1933
460	1648	1927
461	1650	1922
462	1652	1916
463	1654	1911
464	1656	1905
465	1658	1900
466	1662	1896
467	1664	1891
468	1665	1886
469	1667	1880
470	1669	1875
471	1671	1869
472	1673	1864
473	1676	1860
474	1678	1855
475	1680	1849
476	1682	1844
477	1684	1839
478	1686	1834
479	1688	1829
480	1690	1824
481	1693	1819
482	1695	1814
483	1697	1809
484	1699	1804
485	1701	1799
486	1703	1793
487	1705	1789
488	1707	1784
489	1709	1778
490	1710	1773
491	1712	1768
492	1714	1762
493	1715	1757
494	1717	1752
495	1719	1746
496	1721	1742
497	1723	1737
498	1724	1731
499	1726	1726
500	1728	1721
501	1729	1715
502	1731	1710
503	1732	1705
504	1735	1700
505	1737	1695
506	1738	1690
507	1740	1685
508	1741	1680
509	1743	1675
510	1745	1670
511	1747	1665
512	1749	1660
513	1751	1655
514	1752	1650
515	1755	1646
516	1756	1641
517	1758	1636
518	1759	1630
519	1761	1625
520	1763	1620
521	1765	1616
522	1766	1611
523	1768	1606
524	1770	1601
525	1771	1596
526	1773	1591
527	1775	1586
528	1776	1581
529	1778	1577
530	1780	1572
531	1782	1567
532	1784	1563
533	1785	1558
534	1787	1553
535	1789	1548
536	1790	1543
537	1794	1540
538	1795	1535
539	1797	1531
540	1799	1526
541	1800	1521
542	1802	1516
543	1804	1512
544	1805	1507
545	1807	1503
546	1810	1499
547	1811	1494
548	1813	1489
549	1815	1485
550	1816	1480
551	1818	1475
552	1820	1471
553	1823	1468
554	1825	1464
555	1828	1459
556	1829	1455
557	1831	1450
558	1833	1446
559	1835	1441
560	1838	1438
561	1840	1434
562	1842	1430
563	1844	1425
564	1845	1421
565	1847	1416
566	1849	1412
567	1850	1407
568	1852	1403
569	1855	1399
570	1856	1395
571	1858	1390
572	1860	1386
573	1861	1381
574	1863	1377
575	1864	1372
576	1866	1368
577	1868	1364
578	1870	1360
579	1872	1355
580	1874	1351
581	1875	1347
582	1877	1342
583	1879	1338
584	1880	1334
585	1882	1330
586	1884	1326
587	1886	1321
588	1888	1317
589	1889	1313
590	1891	1309
591	1893	1304
592	1895	1300
593	1897	1296
594	1901	1293
595	1903	1290
596	1906	1287
597	1911	1284
598	1916	1282
599	1922	1281
600	1925	1278
601	1932	1277
602	1934	1273
603	1937	1270
604	1939	1266
605	1941	1262
606	1944	1258
607	1946	1255
608	1948	1251
609	1951	1247
610	1954	1244
611	1956	1240
612	1959	1237
613	1962	1233
614	1964	1229
615	1966	1225
616	1969	1222
617	1971	1218
618	1974	1215
619	1977	1212
620	1981	1209
621	1983	1205
622	1985	1201
623	1987	1197
624	1989	1193
625	1992	1190
626	1993	1186
627	1995	1182
628	1997	1177
629	1998	1173
630	2000	1169
631	2001	1165
632	2004	1161
633	2006	1158
634	2008	1154
635	2009	1150
636	2011	1146
637	2012	1142
638	2014	1137
639	2015	1133
640	2017	1129
641	2019	1126
642	2021	1122
643	2023	1118
644	2025	1114
645	2026	1110
646	2028	1106
647	2030	1102
648	2032	1098
649	2034	1095
650	2037	1092
651	2038	1088
652	2041	1084
653	2042	1080
654	2044	1076
655	2046	1073
656	2048	1069
657	2051	1066
658	2052	1062
659	2054	1058
660	2055	1054
661	2057	1050
662	2059	1046
663	2060	1042
664	2062	1039
665	2064	1035
666	2066	1031
667	2068	1027
668	2069	1024
669	2071	1020
670	2073	1016
671	2074	1012
672	2076	1008
673	2078	1005
674	2080	1001
675	2082	997
676	2083	994
677	2085	990
678	2086	986
679	2088	982
680	2090	979
681	2091	975
682	2094	971
683	2096	968
684	2097	964
685	2099	960
686	2100	957
687	2102	953
688	2104	949
689	2105	946
690	2107	942
691	2109	939
692	2111	935
693	2113	931
694	2114	928
695	2116	924
696	2117	920
697	2119	917
698	2121	913
699	2123	910
700	2125	906
701	2127	902
702	2128	899
703	2130	895
704	2131	892
705	2133	888
706	2135	884
707	2137	881
708	2140	878
709	2142	875
710	2144	871
711	2147	868
712	2149	865
713	2153	862
714	2155	859
715	2158	855
716	2160	852
717	2161	849
718	2164	845
719	2170	843
720	2172	840
721	2175	837
722	2177	834
723	2180	831
724	2184	828
725	2187	825
726	2189	822
727	2192	819
728	2195	815
729	2197	812
730	2200	809
731	2203	806
732	2208	804
733	2211	801
734	2214	798
735	2217	795
736	2219	792
737	2222	788
738	2224	785
739	2227	782
740	2231	779
741	2233	776
742	2236	773
743	2238	770
744	2241	767
745	2244	764
746	2246	760
747	2249	757
748	2252	754
749	2254	751
750	2257	748
751	2261	745
752	2264	742
753	2266	739
754	2268	736
755	2270	732
756	2272	729
757	2276	726
758	2278	723
759	2280	720
760	2282	716
761	2284	713
762	2286	710
763	2288	706
764	2291	703
765	2293	700
766	2295	697
767	2297	693
768	2298	690
769	2300	687
770	2302	683
771	2305	681
772	2308	677
773	2310	674
774	2312	671
775	2314	667
776	2316	664
777	2318	661
778	2321	658
779	2323	655
780	2325	652
781	2327	648
782	2329	645
783	2331	642
784	2333	638
785	2337	636
786	2339	633
787	2341	629
788	2343	626
789	2345	623
790	2347	620
791	2349	616
792	2351	613
793	2353	610
794	2355	607
795	2357	604
796	2359	600
797	2360	597
798	2362	594
799	2366	591
800	2368	588
801	2370	585
802	2372	581
803	2373	578
804	2376	575
805	2380	573
806	2383	570
807	2386	567
808	2389	564
809	2392	561
810	2396	558
811	2399	555
812	2404	553
813	2407	550
814	2413	547
815	2416	544
816	2418	541
817	2421	538
818	2423	535
819	2425	532
820	2428	529
821	2430	526
822	2432	523
823	2434	519
824	2435	516
825	2437	513
826	2440	510
827	2442	507
828	2444	504
829	2445	500
830	2447	497
831	2449	494
832	2450	491
833	2452	488
834	2454	484
835	2456	481
836	2458	478
837	2459	475
838	2461	472
839	2463	469
840	2464	466
841	2466	462
842	2468	459
843	2470	456
844	2472	453
845	2473	450
846	2475	447
847	2476	443
848	2478	440
849	2480	437
850	2481	434
851	2483	431
852	2486	428
853	2487	425
854	2489	422
855	2491	419
856	2493	415
857	2494	412
858	2496	409
859	2498	406
860	2501	403
861	2503	400
862	2505	397
863	2507	394
864	2509	391
865	2511	388
866	2513	385
867	2516	382
868	2518	379
869	2520	376
870	2522	373
871	2524	370
872	2526	367
873	2528	364
874	2532	361
875	2534	358
876	2536	355
877	2538	352
878	2540	349
879	2542	346
880	2544	343
881	2547	340
882	2549	337
883	2551	334
884	2553	331
885	2555	328
886	2557	325
887	2559	322
888	2562	319
889	2564	316
890	2566	313
891	2568	310
892	2570	308
893	2572	305
894	2575	302
895	2577	299
896	2579	296
897	2581	293
898	2583	290
899	2585	287
900	2587	284
901	2590	281
902	2592	278
903	2594	275
904	2596	272
905	2597	269
906	2599	266
907	2601	263
908	2602	260
909	2604	257
910	2606	254
911	2608	251
912	2609	248
913	2611	245
914	2613	242
915	2614	239
916	2616	236
917	2618	233
918	2620	230
919	2622	228
920	2623	225
921	2625	222
922	2626	219
923	2628	216
924	2630	213
925	2631	210
926	2633	207
927	2635	204
928	2637	201
929	2638	198
930	2640	195
931	2642	192
932	2644	189
933	2645	186
934	2647	184
935	2649	181
936	2651	178
937	2653	175
938	2654	172
939	2656	169
940	2658	166
941	2659	163
942	2661	160
943	2663	157
944	2665	155
945	2667	152
946	2669	149
947	2671	146
948	2672	143
949	2674	140
950	2676	137
951	2677	135
952	2679	132
953	2681	129
954	2683	126
955	2685	123
956	2686	120
957	2688	117
958	2690	115
959	2692	112
960	2694	109
961	2696	106
962	2698	103
963	2699	100
964	2701	97
965	2703	95
966	2704	92
967	2706	89
968	2708	86
969	2710	83
970	2712	81
971	2714	78
972	2715	75
973	2717	72
974	2719	69
975	2720	66
976	2722	64
977	2724	61
978	2726	58
979	2728	55
980	2730	52
981	2731	50
982	2733	47
983	2734	44
984	2736	41
985	2738	38
986	2740	36
987	2742	33
988	2744	30
989	2745	27
990	2747	24
991	2748	22
992	2750	19
993	2752	16
994	2754	13
995	2756	11
996	2758	8
997	2760	5
998	2762	2
999	2764	0
